IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2168-2194,2168-2208,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"16,954",6.7,Q1,1.96,14.17%,
IEEE Open Journal of the Computer Society,IEEE OPEN J COMP SOC,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,,2644-1268,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,509,5.7,Q1,1.31,94.94%,
IEEE Revista Iberoamericana de Tecnologias del Aprendizaje-IEEE RITA,IEEE REV IBEROAM TEC,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,,1932-8540,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,290,1,Q4,0.31,0%,
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,IEEE T COMPUT AID D,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,0278-0070,1937-4151,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"8,761",2.7,Q2,0.66,8.71%,
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE T MED IMAGING,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,0278-0062,1558-254X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"33,906",8.9,Q1,2.3,15.79%,
IEEE Transactions on Industrial Informatics,IEEE T IND INFORM,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1551-3203,1941-0050,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"52,567",11.7,Q1,2.58,4.76%,
IEEE Transactions on Learning Technologies,IEEE T LEARN TECHNOL,IEEE COMPUTER SOC,1939-1382,1939-1382,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"1,860",2.9,Q2,1.09,15.31%,
IEEE-ACM Transactions on Computational Biology and Bioinformatics,IEEE ACM T COMPUT BI,IEEE COMPUTER SOC,1545-5963,1557-9964,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"5,969",3.6,Q2,1.63,28.01%,
IET Cyber-Physical Systems: Theory & Applications,IET CYBER PHYS SYST,WILEY,,2398-3396,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,393,1.7,Q3,0.36,84.81%,
INDUSTRIAL MANAGEMENT & DATA SYSTEMS,IND MANAGE DATA SYST,EMERALD GROUP PUBLISHING LTD,0263-5577,1758-5783,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"7,848",4.2,Q1,0.86,3.44%,
INFORMS JOURNAL ON COMPUTING,INFORMS J COMPUT,INFORMS,1091-9856,1526-5528,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"3,001",2.3,Q3,0.47,0%,
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E,IOS PRESS,1069-2509,1875-8835,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,747,5.8,Q1,1.47,20.83%,
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,INT J NUMER METH FL,WILEY,0271-2091,1097-0363,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"6,819",1.7,Q3,0.48,19.7%,
